Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
AStar,16,25,13,6,8,1.30762,5,0.020253
IDAStar,16,25,7,5,4,1.0614,5,0.010227
BeamSearch,16,25,95,42,54,2.20747,5,0.152395
RBFS,16,25,13,5,3,1.30762,5,0.009084
SMAStar,16,25,13,6,8,1.30762,5,0.019028
Greedy,16,50,24152,11935,12218,1.02504,258,75.1127
BFS,16,50,3529963,1839571,1690392,-1,-1,-1
AStar,16,50,798,385,412,1.29787,20,2.29028
IDAStar,16,50,1292,623,19,1.3354,20,2.40693
BeamSearch,16,50,3063,1523,100,1.40366,20,8.67253
RBFS,16,50,422,201,3,1.24861,20,0.114032
SMAStar,16,50,862,420,443,1.30386,20,3.22311
Greedy,16,100,4583,2177,2407,1.05392,104,24.5199
BFS,16,100,2940558,1528710,1411848,-1,-1,-1
AStar,16,100,2967,1462,1501,1.25725,28,15.8426
IDAStar,16,100,3740,1810,27,1.26932,28,13.5638
BeamSearch,16,100,4703,2323,100,1.2813,28,24.9251
RBFS,16,100,2886,1376,3,1.25581,28,0.528063
SMAStar,16,100,3588,1793,1796,1.26716,28,38.2993
Greedy,16,200,3203,1574,1630,1.02076,204,34.3543
BFS,16,200,2256767,1171876,1084891,-1,-1,-1
AStar,16,200,1441846,742650,691449,1.3378,44,18646.1
IDAStar,16,200,8354270,4062901,40,-1,-1,-1
BeamSearch,16,200,10500,5154,100,1.13592,56,108.547
RBFS,16,200,5000002,2432273,4,-1,-1,-1
SMAStar,16,200,90815,45641,45174,-1,-1,-1
Greedy,16,25,24,12,13,1.11909,11,0.042791
BFS,16,25,18787,9348,9440,2.32449,11,33.4372
AStar,16,25,24,12,13,1.11909,11,0.041971
IDAStar,16,25,17,11,10,1.06131,11,0.026754
BeamSearch,16,25,1275,623,100,1.77705,11,2.06216
RBFS,16,25,24,11,3,1.11909,11,0.018966
SMAStar,16,25,24,12,13,1.11909,11,0.059847
Greedy,16,50,687,336,352,1.09279,46,1.96404
BFS,16,50,3633596,1892725,1740871,-1,-1,-1
AStar,16,50,498,244,254,1.26139,20,1.41471
IDAStar,16,50,871,424,19,1.30466,20,1.67914
BeamSearch,16,50,3095,1523,100,1.40449,20,8.72672
RBFS,16,50,584,285,3,1.2737,20,0.154637
SMAStar,16,50,712,355,358,1.28903,20,2.57041
Greedy,16,100,35475,17637,17839,1.0284,246,207.892
BFS,16,100,3085334,1606137,1479197,-1,-1,-1
AStar,16,100,692,334,358,1.2238,24,3.64791
IDAStar,16,100,1041,510,23,1.24918,24,4.00434
BeamSearch,16,100,3956,1954,100,1.33289,24,20.8054
RBFS,16,100,1066,517,4,1.25066,24,0.257349
SMAStar,16,100,907,449,459,1.24061,24,5.61847
Greedy,16,200,2790,1318,1473,1.01634,236,28.5806
BFS,16,200,2291272,1188278,1102994,-1,-1,-1
AStar,16,200,258840,134459,123338,1.33889,38,2883.59
IDAStar,16,200,404635,199302,37,1.35603,38,1784.66
BeamSearch,16,200,8800,4323,100,1.15939,48,90.648
RBFS,16,200,946809,466009,3,1.38907,38,122.003
SMAStar,16,200,104446,54489,49957,-1,-1,-1
Greedy,16,25,6641,3198,3444,1.01604,293,11.028
BFS,16,25,62405,31275,31131,2.23374,13,115.487
AStar,16,25,49,23,27,1.17521,13,0.085983
IDAStar,16,25,29,17,12,1.10494,13,0.04527
BeamSearch,16,25,1760,854,100,1.65465,13,2.77141
RBFS,16,25,41,17,4,1.15162,13,0.024209
SMAStar,16,25,42,19,24,1.15482,13,0.06878
Greedy,16,50,1732,843,890,1.05358,86,4.9445
BFS,16,50,3913033,2042890,1870143,-1,-1,-1
AStar,16,50,1453,676,778,1.26995,24,4.13677
IDAStar,16,50,1254,622,23,1.26077,24,2.75268
BeamSearch,16,50,3996,1923,100,1.33353,24,11.2783
RBFS,16,50,1875,911,3,1.28588,24,0.306267
SMAStar,16,50,2796,1349,1448,1.31096,24,19.5725
Greedy,16,100,13649,6784,6866,1.02714,220,73.8872
BFS,16,100,2914499,1513362,1401137,-1,-1,-1
AStar,16,100,3787,1887,1891,1.26997,28,20.1499
IDAStar,16,100,4799,2364,27,1.28236,28,15.0737
BeamSearch,16,100,8913,4323,100,1.15974,48,46.8727
RBFS,16,100,8285,4071,3,1.31109,28,1.22055
SMAStar,16,100,7487,3826,3662,1.30574,28,139.576
Greedy,16,200,15507,7730,7778,1.00788,612,162.977
BFS,16,200,140627,71266,69361,-1,-1,-1
AStar,16,200,2239809,1192725,1038662,-1,-1,-1
IDAStar,16,200,8496361,4161081,38,-1,-1,-1
BeamSearch,16,200,10409,5154,100,1.13571,56,106.306
RBFS,16,200,5000001,2445721,4,-1,-1,-1
SMAStar,16,200,103546,53035,50511,-1,-1,-1
