Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
BeamSearch,16,200,6733,3323,100,1.20347,38,156.807
RBFS,16,200,160034,78538,3,1.32061,38,47.2525
SMAStar,16,200,78617,40346,38271,-1,-1,-1
Greedy,16,25,14,6,9,1.33751,5,0.054938
BFS,16,25,161,74,88,2.49612,5,0.556045
AStar,16,25,14,6,9,1.33751,5,0.036445
IDAStar,16,25,8,5,4,1.11434,5,0.017521
BeamSearch,16,25,122,57,66,2.34103,5,0.420175
RBFS,16,25,14,5,3,1.33751,5,0.013892
SMAStar,16,25,14,6,9,1.33751,5,0.043081
Greedy,16,50,4416,2154,2263,1.0306,162,26.9883
BFS,16,50,1761917,912434,849484,2.14721,18,12964.6
AStar,16,50,280,134,147,1.25204,18,1.23127
IDAStar,16,50,213,106,17,1.22808,18,0.849075
BeamSearch,16,50,2713,1323,100,1.45445,18,9.49428
RBFS,16,50,219,103,3,1.23052,18,0.094703
SMAStar,16,50,267,125,143,1.24788,18,1.00004
Greedy,16,100,5693,2803,2891,1.01307,332,40.1272
BFS,16,100,2604153,1351611,1252542,-1,-1,-1
AStar,16,100,12476,6327,6126,1.33282,28,106.58
IDAStar,16,100,32630,15882,27,1.38463,28,97.8241
BeamSearch,16,100,8823,4323,100,1.15946,48,58.4683
RBFS,16,100,21888,10644,3,1.36297,28,3.60085
SMAStar,16,100,17734,9131,8604,1.35164,28,974.053
Greedy,16,200,18662,9134,9529,1.02549,244,269.747
BFS,16,200,1826055,946649,879406,-1,-1,-1
AStar,16,200,742636,391812,348261,1.37958,38,10505.6
IDAStar,16,200,2582300,1253943,37,1.42883,38,10108.3
BeamSearch,16,200,10145,4954,100,1.14128,54,123.499
RBFS,16,200,2764206,1342546,4,1.43156,38,399.046
SMAStar,16,200,93865,48133,45732,-1,-1,-1
Greedy,16,25,28,13,16,1.14429,11,0.057973
BFS,16,25,15919,7861,8059,2.28717,11,31.2265
AStar,16,25,28,13,16,1.14429,11,0.066026
IDAStar,16,25,20,12,10,1.08883,11,0.036225
BeamSearch,16,25,1286,623,100,1.77862,11,2.34426
RBFS,16,25,28,12,3,1.14429,11,0.022833
SMAStar,16,25,27,12,16,1.13837,11,0.065423
Greedy,16,50,7205,3514,3692,1.02249,228,24.8236
BFS,16,50,695992,357204,338789,2.23383,16,3577.47
AStar,16,50,191,95,97,1.25961,16,0.590084
IDAStar,16,50,151,78,15,1.2359,16,0.392366
BeamSearch,16,50,2394,1154,100,1.52103,16,7.42901
RBFS,16,50,170,84,4,1.24787,16,0.072398
SMAStar,16,50,155,72,84,1.23854,16,0.508324
Greedy,16,100,37420,18501,18920,1.00951,620,235.733
BFS,16,100,2455305,1273438,1181867,-1,-1,-1
AStar,16,100,740,352,388,1.20463,26,4.49425
IDAStar,16,100,1685,806,25,1.25118,26,8.12656
BeamSearch,16,100,4224,2123,100,1.30353,26,25.7978
RBFS,16,100,1682,798,3,1.25108,26,0.41388
SMAStar,16,100,1479,723,757,1.24379,26,12.3258
Greedy,16,200,7502,3614,3889,1.05721,108,97.2747
BFS,16,200,1670291,864875,805416,-1,-1,-1
AStar,16,200,46334,23358,22797,1.36951,30,701.989
IDAStar,16,200,79171,38423,29,1.39656,30,477.994
BeamSearch,16,200,5223,2554,100,1.26241,30,79.0116
RBFS,16,200,90991,44117,4,1.40365,30,16.0558
SMAStar,16,200,69795,35800,33996,1.39017,30,28513.7
Greedy,16,25,134,64,71,1.39385,11,0.334701
BFS,16,25,18770,9285,9486,2.32428,11,44.9587
AStar,16,25,123,59,65,1.38013,11,0.264444
IDAStar,16,25,170,82,10,1.43219,11,0.23297
BeamSearch,16,25,1345,654,100,1.78684,11,2.96521
RBFS,16,25,160,76,4,1.42239,11,0.049181
SMAStar,16,25,127,60,68,1.38525,11,0.332625
Greedy,16,50,182,83,100,1.1835,20,0.776577
BFS,16,50,12053,5967,6087,2.42687,10,49.7928
AStar,16,50,40,18,23,1.23895,10,0.153349
IDAStar,16,50,32,17,9,1.19916,10,0.137476
BeamSearch,16,50,1141,554,100,1.8734,10,4.43427
RBFS,16,50,40,17,4,1.23895,10,0.048149
SMAStar,16,50,27,11,17,1.16867,10,0.12404
Greedy,16,100,3339,1624,1716,1.02667,170,25.9931
BFS,16,100,2421635,1256518,1165117,-1,-1,-1
AStar,16,100,14614,7172,7385,1.34127,28,100.211
IDAStar,16,100,47810,22374,27,1.40556,28,118.579
BeamSearch,16,100,5149,2523,100,1.26172,30,37.7877
RBFS,16,100,52423,24521,3,1.41063,28,9.60147
SMAStar,16,100,24503,12271,12233,1.36907,28,1931.37
Greedy,16,200,8938,4375,4564,1.01937,268,133.968
BFS,16,200,1839273,952557,886716,-1,-1,-1
AStar,16,200,957430,502271,450706,1.30723,46,16186.8
IDAStar,16,200,4829017,2436990,45,1.35738,46,23103.7
BeamSearch,16,200,12457,6154,100,1.11451,66,165.406
RBFS,16,200,2283663,1155136,4,1.334,46,389.184
SMAStar,16,200,88124,46207,41917,-1,-1,-1
Greedy,16,25,17,8,10,1.20811,7,0.036497
BFS,16,25,444,216,229,2.19016,7,0.764419
AStar,16,25,17,8,10,1.20811,7,0.035958
IDAStar,16,25,10,7,6,1.06287,7,0.016574
BeamSearch,16,25,399,196,100,2.15251,7,0.70247
RBFS,16,25,17,7,3,1.20811,7,0.013835
SMAStar,16,25,17,8,10,1.20811,7,0.061999
Greedy,16,50,26184,12972,13213,1.0264,250,91.7733
BFS,16,50,1279166,659859,619308,2.10741,18,7862.48
AStar,16,50,389,189,200,1.28083,18,1.21999
IDAStar,16,50,320,158,17,1.26373,18,0.698223
BeamSearch,16,50,2659,1323,100,1.4526,18,8.25895
RBFS,16,50,530,250,3,1.30799,18,0.126296
SMAStar,16,50,468,231,238,1.29705,18,1.6368
Greedy,16,100,6220,2992,3229,1.02557,200,46.5393
BFS,16,100,2529776,1312270,1217506,-1,-1,-1
AStar,16,100,45974,23347,22394,1.31485,34,622.094
IDAStar,16,100,240359,117158,33,1.38658,34,1127.9
BeamSearch,16,100,5891,2923,100,1.22862,34,61.3253
RBFS,16,100,240367,117138,3,1.38658,34,69.588
SMAStar,16,100,69395,36131,33264,-1,-1,-1
Greedy,16,200,26004,12849,13156,1.01051,536,425.74
BFS,16,200,1707714,884205,823509,-1,-1,-1
AStar,16,200,247354,126746,119557,1.33716,38,2926.65
IDAStar,16,200,1049628,508799,37,1.39312,38,3324.87
BeamSearch,16,200,7240,3554,100,1.19326,40,77.9672
RBFS,16,200,788354,385473,4,1.38191,38,105.551
SMAStar,16,200,98149,49979,48170,-1,-1,-1
Greedy,16,25,595,291,305,1.04459,75,1.03756
BFS,16,25,5564,2745,2820,2.4603,9,9.88004
AStar,16,25,34,15,20,1.25448,9,0.060905
IDAStar,16,25,27,14,8,1.20796,9,0.043229
BeamSearch,16,25,936,454,100,1.9779,9,1.5796
RBFS,16,25,34,14,4,1.25448,9,0.018284
SMAStar,16,25,23,10,14,1.17544,9,0.051807
Greedy,16,50,27,13,15,1.11443,12,0.09242
BFS,16,50,31816,15899,15918,2.25982,12,104.995
AStar,16,50,27,13,15,1.11443,12,0.095906
IDAStar,16,50,19,12,11,1.06097,12,0.054214
BeamSearch,16,50,1543,754,100,1.71412,12,4.66722
RBFS,16,50,27,12,4,1.11443,12,0.038086
SMAStar,16,50,27,13,15,1.11443,12,0.077621
Greedy,16,100,2503,1224,1280,1.03409,132,14.5491
BFS,16,100,2870353,1491239,1379114,-1,-1,-1
AStar,16,100,5971,2908,3048,1.29382,28,33.815
IDAStar,16,100,11121,5262,27,1.3267,28,31.7448
BeamSearch,16,100,4655,2296,100,1.28076,28,27.3895
RBFS,16,100,5418,2553,3,1.28872,28,0.960721
SMAStar,16,100,7062,3475,3588,1.30266,28,135.993
Greedy,16,200,20815,10263,10553,1.01053,514,231.355
BFS,16,200,2092790,1083457,1009333,-1,-1,-1
AStar,16,200,24554,12589,11936,1.22144,42,258.142
IDAStar,16,200,17645,8766,41,1.21069,42,122.047
BeamSearch,16,200,7449,3696,100,1.18274,42,78.182
RBFS,16,200,17645,8751,3,1.21069,42,2.72747
SMAStar,16,200,23793,12242,11552,1.22041,42,1555.02
Greedy,16,25,6126,2972,3155,1.0149,305,10.5966
BFS,16,25,3066619,1596482,1470138,2.12247,19,21417.6
AStar,16,25,168,81,88,1.19128,19,0.315392
IDAStar,16,25,141,75,18,1.17675,19,0.178288
BeamSearch,16,25,2944,1454,100,1.42922,19,4.85792
RBFS,16,25,101,48,4,1.1488,19,0.04425
SMAStar,16,25,168,81,88,1.19128,19,0.293731
Greedy,16,50,56,27,30,1.16976,14,0.168191
BFS,16,50,24679,12295,12385,2.2091,12,79.3696
AStar,16,50,70,34,37,1.25255,12,0.208796
IDAStar,16,50,41,25,11,1.17576,12,0.099265
BeamSearch,16,50,1533,754,100,1.71307,12,4.51525
RBFS,16,50,41,20,4,1.17576,12,0.038138
SMAStar,16,50,62,30,33,1.23522,12,0.208956
Greedy,16,100,6569,3220,3350,1.01565,298,37.3807
BFS,16,100,3035924,1579994,1455931,-1,-1,-1
AStar,16,100,5063,2473,2560,1.28516,28,28.5027
IDAStar,16,100,3298,1552,27,1.26276,28,11.4122
BeamSearch,16,100,4691,2323,100,1.28117,28,26.0599
RBFS,16,100,7530,3524,3,1.30604,28,1.17674
SMAStar,16,100,5774,2895,2880,1.29206,28,93.0032
Greedy,16,200,12755,6202,6554,1.00784,590,145.052
BFS,16,200,2130645,1105154,1025491,-1,-1,-1
AStar,16,200,952184,498130,447625,1.32432,44,12185.1
IDAStar,16,200,2133417,1064621,43,1.35061,44,7170.53
BeamSearch,16,200,7675,3923,100,1.17336,44,84.1812
RBFS,16,200,3991929,1987460,3,1.3713,44,539.653
SMAStar,16,200,97216,50971,46245,-1,-1,-1
Greedy,16,25,114,51,64,1.09053,27,0.230612
BFS,16,25,13567,6687,6881,2.25164,11,31.6152
AStar,16,25,33,16,18,1.17086,11,0.126234
IDAStar,16,25,23,14,10,1.11207,11,0.044115
BeamSearch,16,25,1257,623,100,1.77445,11,2.55387
RBFS,16,25,32,14,3,1.1659,11,0.024977
SMAStar,16,25,28,13,16,1.14429,11,0.074579
Greedy,16,50,4811,2312,2500,1.02047,226,17.704
BFS,16,50,139450,70565,68886,2.2338,14,549.68
AStar,16,50,74,34,41,1.20321,14,0.29911
IDAStar,16,50,80,40,13,1.21251,14,0.19148
BeamSearch,16,50,1891,923,100,1.59804,14,5.64006
RBFS,16,50,46,20,3,1.14588,14,0.045857
SMAStar,16,50,48,22,27,1.15107,14,0.177769
Greedy,16,100,1901,939,963,1.06457,76,10.8446
BFS,16,100,2900254,1506868,1393386,-1,-1,-1
AStar,16,100,713,345,368,1.28914,20,3.87456
IDAStar,16,100,1217,582,19,1.33072,20,4.06138
BeamSearch,16,100,3068,1496,100,1.40379,20,16.6892
RBFS,16,100,1388,657,3,1.34101,20,0.282499
SMAStar,16,100,815,391,425,1.29951,20,5.09173
Greedy,16,200,31596,15664,15933,1.01722,368,343.306
BFS,16,200,1940597,1005325,935272,-1,-1,-1
AStar,16,200,227270,116010,110621,1.29491,42,2704.47
IDAStar,16,200,371059,181467,41,1.31141,42,1883.98
BeamSearch,16,200,8410,4123,100,1.1667,46,92.6003
RBFS,16,200,155187,75900,3,1.28215,42,21.785
SMAStar,16,200,98081,49843,48238,-1,-1,-1
Greedy,16,25,130,63,68,1.16998,19,0.263076
BFS,16,25,47226,23655,23572,2.18317,13,100.248
AStar,16,25,233,112,122,1.37808,13,0.446791
IDAStar,16,25,252,122,12,1.38837,13,0.327368
BeamSearch,16,25,1700,823,100,1.64966,13,2.97691
RBFS,16,25,331,156,3,1.42435,13,0.066111
SMAStar,16,25,241,116,126,1.38251,13,0.476104
Greedy,16,50,1542,744,799,1.08664,58,5.60093
BFS,16,50,402861,205741,197121,2.15472,16,1709.69
AStar,16,50,61,28,34,1.14327,16,0.205189
IDAStar,16,50,49,27,15,1.12025,16,0.183025
BeamSearch,16,50,2295,1123,100,1.51647,16,7.09472
RBFS,16,50,61,27,3,1.14327,16,0.055522
SMAStar,16,50,38,17,22,1.09298,16,0.149337
Greedy,16,100,795,381,415,1.04269,84,4.61042
BFS,16,100,3038308,1580262,1458046,-1,-1,-1
AStar,16,100,1771,878,880,1.23045,28,9.62262
IDAStar,16,100,2271,1090,27,1.24335,28,7.17469
BeamSearch,16,100,4484,2296,100,1.2788,28,24.9923
RBFS,16,100,4189,1982,3,1.27524,28,0.729816
SMAStar,16,100,3056,1590,1467,1.25879,28,31.8108
Greedy,16,200,2382,1155,1228,1.0336,132,27.0166
BFS,16,200,2050585,1063756,986829,-1,-1,-1
AStar,16,200,763856,395644,364818,1.40755,36,9788.85
IDAStar,16,200,2360227,1130620,35,1.4555,36,7655.27
BeamSearch,16,200,8206,3954,100,1.17541,44,84.0928
RBFS,16,200,2637164,1264227,4,1.46028,36,349.917
SMAStar,16,200,103127,52466,50661,-1,-1,-1
Greedy,16,25,683,339,345,1.11581,39,1.09219
BFS,16,25,68382,34356,34027,2.25055,13,130.852
AStar,16,25,139,68,72,1.31078,13,0.255849
IDAStar,16,25,171,84,12,1.33769,13,0.1918
BeamSearch,16,25,1696,823,100,1.64932,13,2.67438
RBFS,16,25,161,76,3,1.32985,13,0.040094
SMAStar,16,25,134,66,69,1.30603,13,0.247245
Greedy,16,50,5500,2696,2805,1.04176,132,16.3357
BFS,16,50,1358687,701591,657097,2.11486,18,7106.8
AStar,16,50,539,262,276,1.30947,18,1.52607
IDAStar,16,50,520,254,17,1.30631,18,0.927739
BeamSearch,16,50,2715,1323,100,1.45452,18,7.6887
RBFS,16,50,870,418,3,1.35178,18,0.160574
SMAStar,16,50,534,261,274,1.30865,18,1.76872
Greedy,16,100,4952,2372,2581,1.05358,106,26.7164
BFS,16,100,3109028,1618593,1490435,-1,-1,-1
AStar,16,100,240,116,125,1.14036,26,1.25693
IDAStar,16,100,84,50,25,1.07756,26,0.448228
BeamSearch,16,100,4315,2154,100,1.30475,26,22.7779
RBFS,16,100,108,50,4,1.09306,26,0.147799
SMAStar,16,100,163,77,87,1.11774,26,0.870692
Greedy,16,200,3908,1923,1986,1.04629,114,41.3695
BFS,16,200,2108169,1093499,1014670,-1,-1,-1
AStar,16,200,114492,58779,55267,1.32952,36,1261.25
IDAStar,16,200,326933,156134,35,1.37228,36,1049.95
BeamSearch,16,200,7105,3523,100,1.19262,40,73.9015
