Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
Greedy,36,25,37,14,24,1.13791,13,0.177186
BFS,36,25,669498,275241,394258,2.70858,13,3538.98
AStar,36,25,37,14,24,1.13791,13,0.137642
IDAStar,36,25,25,13,12,1.08445,13,0.113816
BeamSearch,36,25,2193,877,100,1.68655,13,7.66893
RBFS,36,25,37,13,3,1.13791,13,0.066567
SMAStar,36,25,37,14,24,1.13791,13,0.125479
Greedy,36,50,378,164,215,1.11434,34,2.40635
BFS,36,50,3459434,1434925,2024509,-1,-1,-1
AStar,36,50,218,94,125,1.27295,16,1.43124
IDAStar,36,50,134,65,15,1.22383,16,0.613166
BeamSearch,36,50,2846,1214,100,1.53976,16,18.4069
RBFS,36,50,146,65,4,1.2325,16,0.140968
SMAStar,36,50,210,90,121,1.26918,16,1.38566
Greedy,36,100,157244,67159,90086,1.01072,696,2040.09
BFS,36,100,2141647,890149,1251498,-1,-1,-1
AStar,36,100,11977,5152,6798,1.25812,34,151.9
IDAStar,36,100,10012,4397,33,1.25065,34,69.3436
BeamSearch,36,100,7154,3040,100,1.23668,34,86.8522
RBFS,36,100,8241,3601,4,1.24255,34,2.17435
SMAStar,36,100,16094,7010,9085,1.27048,34,1425.33
Greedy,36,200,302234,122968,179267,1.00573,1304,7407.8
BFS,36,200,1192772,490396,702376,-1,-1,-1
AStar,36,200,1207502,518104,688405,-1,-1,-1
IDAStar,36,200,2269933,956683,50,-1,-1,-1
BeamSearch,36,200,26319,10763,100,1.06862,112,629.237
RBFS,36,200,5000002,2115755,3,-1,-1,-1
SMAStar,36,200,69615,28993,40622,-1,-1,-1
Greedy,36,25,26,10,17,1.20032,9,0.098206
BFS,36,25,22517,9122,13396,2.90575,9,91.2365
AStar,36,25,26,10,17,1.20032,9,0.097715
IDAStar,36,25,20,9,8,1.14691,9,0.067488
BeamSearch,36,25,1237,494,100,2.04786,9,4.42845
RBFS,36,25,26,9,4,1.20032,9,0.037642
SMAStar,36,25,26,10,17,1.20032,9,0.089249
Greedy,36,50,13368,5622,7747,1.02672,222,93.3203
BFS,36,50,3453174,1433310,2019864,-1,-1,-1
AStar,36,50,66,29,38,1.12364,18,0.434844
IDAStar,36,50,40,22,17,1.07658,18,0.245465
BeamSearch,36,50,3420,1440,100,1.47584,18,22.9982
RBFS,36,50,53,22,4,1.10331,18,0.120258
SMAStar,36,50,59,25,35,1.1133,18,0.382645
Greedy,36,100,3865,1617,2249,1.08216,72,47.2829
BFS,36,100,2133747,884447,1249300,-1,-1,-1
AStar,36,100,1263,507,757,1.29343,22,15.2977
IDAStar,36,100,1581,639,21,1.30903,22,13.8799
BeamSearch,36,100,4450,1814,100,1.38183,22,53.8446
RBFS,36,100,1058,423,4,1.28116,22,0.493265
SMAStar,36,100,1221,490,732,1.29108,22,18.992
Greedy,36,200,757232,305986,451247,1.00138,5032,18902.6
BFS,36,200,1198726,495283,703443,-1,-1,-1
AStar,36,200,1214474,508755,702184,-1,-1,-1
IDAStar,36,200,2822902,1128970,36,-1,-1,-1
BeamSearch,36,200,64658,26177,100,1.02857,266,1547.95
RBFS,36,200,5000002,1999325,3,-1,-1,-1
SMAStar,36,200,70564,29386,41178,-1,-1,-1
Greedy,36,25,2352,987,1366,1.04507,105,8.25051
BFS,36,25,157346,64414,92933,2.8537,11,636.971
AStar,36,25,50,19,32,1.23718,11,0.183458
IDAStar,36,25,38,18,10,1.19349,11,0.127833
BeamSearch,36,25,1786,714,100,1.83941,11,55.4039
RBFS,36,25,50,18,4,1.23718,11,0.048712
SMAStar,36,25,32,12,21,1.1659,11,0.108486
Greedy,36,50,3116,1351,1766,1.03488,136,20.1196
BFS,36,50,197142,80763,116380,2.6554,12,1413.55
AStar,36,50,66,30,37,1.24415,12,0.430497
IDAStar,36,50,31,18,11,1.13492,12,0.189379
BeamSearch,36,50,1995,814,100,1.75597,12,12.599
RBFS,36,50,43,18,4,1.18265,12,0.082146
SMAStar,36,50,62,27,36,1.23522,12,0.381033
Greedy,36,100,50533,21663,28871,1.00564,1004,642.877
BFS,36,100,2150351,891352,1258999,-1,-1,-1
AStar,36,100,2627,1056,1569,1.18143,36,31.7647
IDAStar,36,100,8472,3461,35,1.22673,36,59.9686
BeamSearch,36,100,7845,3214,100,1.22375,36,94.7635
RBFS,36,100,8688,3537,4,1.22771,36,2.22264
SMAStar,36,100,6158,2557,3602,1.21437,36,224.779
Greedy,36,200,294645,121325,173321,1.00193,3292,7195.23
BFS,36,200,1202076,495076,707000,-1,-1,-1
AStar,36,200,1214923,526271,686989,-1,-1,-1
IDAStar,36,200,2209944,940945,45,-1,-1,-1
BeamSearch,36,200,95790,39577,100,1.01888,400,2333.05
RBFS,36,200,5000002,2127078,3,-1,-1,-1
SMAStar,36,200,70246,29765,40481,-1,-1,-1
Greedy,36,25,29,12,18,1.14999,11,0.104107
BFS,36,25,81827,33278,48550,2.68035,11,315.311
AStar,36,25,29,12,18,1.14999,11,0.108576
IDAStar,36,25,14,11,10,1.0276,11,0.045987
BeamSearch,36,25,1734,714,100,1.83388,11,6.0249
RBFS,36,25,29,11,4,1.14999,11,0.04202
SMAStar,36,25,29,12,18,1.14999,11,0.097515
Greedy,36,50,4830,2110,2721,1.0421,128,30.8996
BFS,36,50,3516586,1455430,2061156,-1,-1,-1
AStar,36,50,130,58,73,1.18461,18,0.908957
IDAStar,36,50,52,28,17,1.10153,18,0.332802
BeamSearch,36,50,3265,1363,100,1.47154,18,21.0134
RBFS,36,50,65,28,3,1.12224,18,0.123364
SMAStar,36,50,44,19,26,1.08573,18,0.271545
Greedy,36,100,4657,1878,2780,1.04433,122,58.0046
BFS,36,100,2143389,884475,1258914,-1,-1,-1
AStar,36,100,6655,2740,3906,1.32972,26,80.7476
IDAStar,36,100,9440,3843,25,1.35002,26,72.8488
BeamSearch,36,100,5678,2310,100,1.29118,28,69.1996
RBFS,36,100,9405,3818,3,1.3498,26,2.32924
SMAStar,36,100,6960,2887,4074,1.33231,26,278.8
Greedy,36,200,486523,199174,287350,1.00182,3734,11982.1
BFS,36,200,1200724,498076,702648,-1,-1,-1
AStar,36,200,1212017,501576,709272,-1,-1,-1
IDAStar,36,200,2015310,824158,52,-1,-1,-1
BeamSearch,36,200,126739,51840,100,1.01447,522,3071.76
RBFS,36,200,5000002,2048810,4,-1,-1,-1
SMAStar,36,200,70429,28986,41443,-1,-1,-1
Greedy,36,25,16,8,9,1.19167,7,0.058471
BFS,36,25,3653,1473,2181,3.05007,7,12.826
AStar,36,25,16,8,9,1.19167,7,0.055796
IDAStar,36,25,15,7,6,1.17414,7,0.047931
BeamSearch,36,25,741,294,100,2.37782,7,2.53525
