Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
RBFS,36,25,16,7,4,1.19167,7,0.026821
SMAStar,36,25,16,8,9,1.19167,7,0.05274
Greedy,36,50,5459,2280,3180,1.03227,162,35.5563
BFS,36,50,3504188,1454383,2049805,-1,-1,-1
AStar,36,50,94,39,56,1.09699,24,0.642278
IDAStar,36,50,41,24,23,1.03884,24,0.264782
BeamSearch,36,50,4816,2014,100,1.3454,24,31.0198
RBFS,36,50,63,24,4,1.06973,24,0.157919
SMAStar,36,50,94,39,56,1.09699,24,0.599888
Greedy,36,100,348748,136399,212350,1.00945,860,4604.25
BFS,36,100,2155575,896029,1259546,-1,-1,-1
AStar,36,100,12411,5351,7047,1.25961,34,152.899
IDAStar,36,100,15966,6764,33,1.27015,34,120.879
BeamSearch,36,100,7254,3040,100,1.23725,34,88.2623
RBFS,36,100,18162,7673,4,1.27555,34,4.23792
SMAStar,36,100,11524,4932,6593,1.25651,34,728.295
Greedy,36,200,834192,349219,484974,1.00399,2036,20837.6
BFS,36,200,1206960,495820,711140,-1,-1,-1
AStar,36,200,1212648,503248,705935,-1,-1,-1
IDAStar,36,200,2465989,1015158,56,-1,-1,-1
BeamSearch,36,200,19705,8110,100,1.08976,86,468.004
RBFS,36,200,5000002,2070466,3,-1,-1,-1
SMAStar,36,200,70280,30061,40219,-1,-1,-1
Greedy,36,25,590,248,343,1.13873,33,2.10106
BFS,36,25,1193,468,726,2.56378,7,4.16108
AStar,36,25,24,11,14,1.30162,7,0.081494
IDAStar,36,25,14,9,6,1.15537,7,0.04176
BeamSearch,36,25,672,263,100,2.34106,7,2.29048
RBFS,36,25,22,9,3,1.27799,7,0.027803
SMAStar,36,25,24,11,14,1.30162,7,0.07923
Greedy,36,50,26383,10668,15716,1.0159,382,173.473
BFS,36,50,3505468,1457316,2048152,-1,-1,-1
AStar,36,50,298,118,181,1.17126,24,1.94536
IDAStar,36,50,183,79,23,1.1404,24,1.10674
BeamSearch,36,50,5009,2040,100,1.3479,24,32.6228
RBFS,36,50,196,77,4,1.14477,24,0.187987
SMAStar,36,50,256,100,157,1.1617,24,1.71972
Greedy,36,100,13322,5660,7663,1.01942,288,163.673
BFS,36,100,2150963,888377,1262586,-1,-1,-1
AStar,36,100,1490,619,870,1.3049,22,18.0899
IDAStar,36,100,2604,1073,21,1.34392,22,20.4974
BeamSearch,36,100,4282,1794,100,1.37909,22,51.8584
RBFS,36,100,2416,999,4,1.33866,22,0.796752
SMAStar,36,100,2621,1108,1514,1.34438,22,54.6367
Greedy,36,200,110215,44679,65537,1.00507,1250,2683.74
BFS,36,200,1199502,496385,703117,-1,-1,-1
AStar,36,200,1216948,501435,710541,-1,-1,-1
IDAStar,36,200,3126987,1287236,50,-1,-1,-1
BeamSearch,36,200,13025,5414,100,1.13503,58,306.609
RBFS,36,200,5000002,2065826,4,-1,-1,-1
SMAStar,36,200,71058,29184,41874,-1,-1,-1
Greedy,36,25,27,10,18,1.20796,9,0.098467
BFS,36,25,30522,12395,18128,3.01175,9,112.591
AStar,36,25,27,10,18,1.20796,9,0.101262
IDAStar,36,25,19,9,8,1.13638,9,0.062719
BeamSearch,36,25,1347,540,100,2.06962,9,4.7487
RBFS,36,25,27,9,4,1.20796,9,0.035588
SMAStar,36,25,27,10,18,1.20796,9,0.124146
Greedy,36,50,25,11,15,1.15478,10,0.157008
BFS,36,50,28979,11746,17234,2.66555,10,194.058
AStar,36,50,25,11,15,1.15478,10,0.174291
IDAStar,36,50,18,10,9,1.0946,10,0.106873
BeamSearch,36,50,1401,563,100,1.91715,10,8.82404
RBFS,36,50,25,10,3,1.15478,10,0.066667
SMAStar,36,50,25,11,15,1.15478,10,0.151237
Greedy,36,100,2027,885,1143,1.03971,112,24.6066
BFS,36,100,2147666,887020,1260646,-1,-1,-1
AStar,36,100,196,83,114,1.18927,20,2.42235
IDAStar,36,100,70,39,19,1.10739,20,0.70601
BeamSearch,36,100,3805,1594,100,1.42108,20,46.1944
RBFS,36,100,107,46,4,1.14168,20,0.2581
SMAStar,36,100,147,60,88,1.16679,20,1.80124
Greedy,36,200,440333,179380,260954,1.00147,4414,10839.7
BFS,36,200,1199721,496053,703668,-1,-1,-1
AStar,36,200,1214516,509252,703919,-1,-1,-1
IDAStar,36,200,2664505,1093764,54,-1,-1,-1
BeamSearch,36,200,174128,71614,100,1.01047,720,4233.37
RBFS,36,200,5000002,2052567,4,-1,-1,-1
SMAStar,36,200,70153,29116,41037,-1,-1,-1
Greedy,36,25,15,6,10,1.36549,5,0.054875
BFS,36,25,525,204,322,3.25231,5,1.80016
AStar,36,25,15,6,10,1.36549,5,0.051117
IDAStar,36,25,11,5,4,1.24072,5,0.033945
BeamSearch,36,25,241,94,100,2.73587,5,0.851977
RBFS,36,25,15,5,4,1.36549,5,0.019036
SMAStar,36,25,15,6,10,1.36549,5,0.049194
Greedy,36,50,1344,582,763,1.39062,18,8.55997
BFS,36,50,195366,80011,115356,2.65329,12,1408.24
AStar,36,50,41,16,26,1.17576,12,0.265734
IDAStar,36,50,27,15,11,1.11443,12,0.164392
BeamSearch,36,50,1960,794,100,1.75307,12,13.9953
RBFS,36,50,41,15,4,1.17576,12,0.081194
SMAStar,36,50,35,13,23,1.15273,12,0.225478
Greedy,36,100,2147523,891097,1256426,-1,-1,-1
BFS,36,100,2219418,917222,1302196,-1,-1,-1
AStar,36,100,1623635,706460,912246,1.30701,48,22067.8
IDAStar,36,100,1563205,664410,47,1.3059,48,7936.58
BeamSearch,36,100,484765,199394,100,1.00376,1998,6286.08
RBFS,36,100,3687192,1564330,4,1.33112,48,778.252
SMAStar,36,100,71440,30502,40938,-1,-1,-1
Greedy,36,200,341766,138856,202911,1.00422,1726,8301.36
BFS,36,200,1203929,497638,706291,-1,-1,-1
AStar,36,200,1216008,515841,695470,-1,-1,-1
IDAStar,36,200,3430523,1420703,49,-1,-1,-1
BeamSearch,36,200,20409,8414,100,1.08782,88,480.81
RBFS,36,200,5000001,2073484,4,-1,-1,-1
SMAStar,36,200,70611,29810,40801,-1,-1,-1
Greedy,36,25,25,11,15,1.31272,7,0.092646
BFS,36,25,2640,1055,1586,2.9013,7,9.39811
AStar,36,25,19,9,11,1.23825,7,0.065805
IDAStar,36,25,13,7,6,1.13515,7,0.041399
BeamSearch,36,25,686,277,100,2.34878,7,2.35435
RBFS,36,25,18,7,3,1.2236,7,0.026771
SMAStar,36,25,19,9,11,1.23825,7,0.06322
Greedy,36,50,136431,55515,80917,1.00915,782,958.51
BFS,36,50,3514746,1455956,2058790,-1,-1,-1
AStar,36,50,114,49,66,1.10976,24,0.77414
IDAStar,36,50,96,48,23,1.09839,24,0.642139
BeamSearch,36,50,4786,2014,100,1.345,24,30.8869
RBFS,36,50,114,48,4,1.10976,24,0.184791
SMAStar,36,50,61,25,37,1.06747,24,0.42106
Greedy,36,100,10379,4169,6211,1.02618,216,127.749
BFS,36,100,2143396,888429,1254967,-1,-1,-1
AStar,36,100,357,154,204,1.16321,26,4.33775
IDAStar,36,100,104,53,25,1.09076,26,1.23807
BeamSearch,36,100,5237,2214,100,1.31588,26,64.0883
RBFS,36,100,126,53,4,1.10239,26,0.332912
SMAStar,36,100,194,81,114,1.12797,26,2.39437
Greedy,36,200,1036968,441101,595868,1.002,3822,25946.6
BFS,36,200,1200419,493778,706641,-1,-1,-1
AStar,36,200,20844,8552,12250,1.20404,44,498.237
IDAStar,36,200,26850,10876,43,1.21184,44,389.3
BeamSearch,36,200,14328,5963,100,1.12169,64,339.289
RBFS,36,200,97658,39932,3,1.25192,44,21.6578
SMAStar,36,200,43580,18215,25366,1.22681,44,11198
Greedy,36,25,29,12,18,1.35319,7,0.104669
BFS,36,25,2457,972,1486,2.86927,7,8.89596
AStar,36,25,26,11,16,1.32339,7,0.088628
IDAStar,36,25,24,12,6,1.30162,7,0.065474
BeamSearch,36,25,670,263,100,2.33995,7,2.3212
RBFS,36,25,26,10,3,1.32339,7,0.028835
SMAStar,36,25,24,10,15,1.30162,7,0.079
Greedy,36,50,4775,2004,2772,1.03074,164,30.762
BFS,36,50,3506062,1451076,2054986,-1,-1,-1
AStar,36,50,272,109,164,1.1327,28,1.78373
IDAStar,36,50,100,49,27,1.07778,28,0.591302
BeamSearch,36,50,5755,2363,100,1.29189,28,37.2012
RBFS,36,50,185,74,3,1.11198,28,0.209117
SMAStar,36,50,240,95,146,1.12601,28,1.61956
Greedy,36,100,128402,52097,76306,1.00586,1132,1659.31
BFS,36,100,2124187,882584,1241603,-1,-1,-1
AStar,36,100,11506,4660,6841,1.18578,44,147.201
IDAStar,36,100,8977,3600,43,1.17816,44,95.0853
BeamSearch,36,100,9908,4040,100,1.18119,44,125.281
RBFS,36,100,11546,4602,4,1.18588,44,2.99261
SMAStar,36,100,11417,4634,6784,1.18554,44,713.956
Greedy,36,200,766051,310525,455527,1.00146,4818,19325.5
BFS,36,200,1199497,496383,703114,-1,-1,-1
AStar,36,200,1209771,501278,705453,-1,-1,-1
IDAStar,36,200,2532535,1019367,48,-1,-1,-1
BeamSearch,36,200,37400,15414,100,1.0483,158,894.394
RBFS,36,200,5000001,2019155,4,-1,-1,-1
SMAStar,36,200,70015,28669,41346,-1,-1,-1
Greedy,36,25,421,182,240,1.07538,47,1.52277
BFS,36,25,1892,760,1133,2.75535,7,6.64299
AStar,36,25,23,10,14,1.29006,7,0.079681
IDAStar,36,25,12,7,6,1.11323,7,0.038083
BeamSearch,36,25,784,314,100,2.39925,7,2.72099
RBFS,36,25,20,7,4,1.25215,7,0.028534
SMAStar,36,25,23,10,14,1.29006,7,0.077457
Greedy,36,50,18407,7231,11177,1.01918,308,120.819
BFS,36,50,3497074,1449162,2047912,-1,-1,-1
AStar,36,50,274,109,166,1.18792,22,1.74877
IDAStar,36,50,113,53,21,1.12557,22,0.714616
BeamSearch,36,50,4419,1777,100,1.38134,22,29.089
RBFS,36,50,295,115,3,1.19303,22,0.214176
SMAStar,36,50,232,91,142,1.17635,22,1.53757
Greedy,36,100,2005995,805774,1200222,1.00277,3118,28303.2
BFS,36,100,2206305,910698,1295607,-1,-1,-1
AStar,36,100,5143,2100,3042,1.19369,38,62.4252
IDAStar,36,100,10429,4349,37,1.2194,38,96.3865
BeamSearch,36,100,9640,3963,100,1.18035,44,116.928
RBFS,36,100,3439,1439,3,1.17908,38,1.1658
SMAStar,36,100,9689,4017,5673,1.21672,38,523.237
Greedy,36,200,1171473,480236,691238,1.00137,5376,29340.4
BFS,36,200,1210302,497672,712630,-1,-1,-1
AStar,36,200,1219042,532615,684369,-1,-1,-1
IDAStar,36,200,3188452,1341697,48,-1,-1,-1
BeamSearch,36,200,25313,10563,100,1.06967,110,599.887
RBFS,36,200,5000001,2107970,3,-1,-1,-1
SMAStar,36,200,70168,29878,40290,-1,-1,-1
Greedy,36,25,35,14,22,1.13045,13,0.126651
BFS,36,25,679329,279330,400000,2.71176,13,2953.24
AStar,36,25,35,14,22,1.13045,13,0.135397
IDAStar,36,25,24,13,12,1.07875,13,0.080473
BeamSearch,36,25,2147,877,100,1.68346,13,7.41475
RBFS,36,25,35,13,3,1.13045,13,0.049394
SMAStar,36,25,35,14,22,1.13045,13,0.120428
Greedy,36,50,60269,24998,35272,1.00663,906,410.47
BFS,36,50,3510952,1453812,2057140,-1,-1,-1
AStar,36,50,3268,1324,1945,1.3208,24,20.9535
IDAStar,36,50,1559,626,23,1.27434,24,7.79821
BeamSearch,36,50,4944,1994,100,1.34707,24,31.8384
RBFS,36,50,2997,1193,4,1.31534,24,0.783286
SMAStar,36,50,3301,1338,1964,1.32144,24,58.5966
Greedy,36,100,60634,25308,35327,1.01169,564,781.24
BFS,36,100,2141503,886387,1255116,-1,-1,-1
AStar,36,100,154943,64883,89804,1.2664,44,1990.95
IDAStar,36,100,91760,37753,43,1.24998,44,693.43
BeamSearch,36,100,12066,4977,100,1.1455,54,147.694
RBFS,36,100,316612,129318,3,1.289,44,74.699
SMAStar,36,100,70497,29101,41396,-1,-1,-1
Greedy,36,200,519104,222837,296268,1.00265,2728,12816.3
BFS,36,200,1200086,496023,704063,-1,-1,-1
AStar,36,200,1215827,505581,706576,-1,-1,-1
IDAStar,36,200,2699043,1133105,58,-1,-1,-1
BeamSearch,36,200,13991,5794,100,1.12598,62,331.161
RBFS,36,200,2664535,1110230,4,1.23607,62,562.019
SMAStar,36,200,70028,29814,40214,-1,-1,-1
Greedy,36,25,24,10,15,1.18409,9,0.099719
BFS,36,25,5342,2118,3225,2.44828,9,19.3363
AStar,36,25,24,10,15,1.18409,9,0.082016
IDAStar,36,25,18,9,8,1.12525,9,0.057669
BeamSearch,36,25,1017,410,100,1.99853,9,3.43818
RBFS,36,25,24,9,3,1.18409,9,0.033974
SMAStar,36,25,24,10,15,1.18409,9,0.0793
Greedy,36,50,1781,730,1052,1.03484,120,11.4272
BFS,36,50,3497321,1450771,2046550,-1,-1,-1
AStar,36,50,2667,1104,1558,1.30799,24,17.0766
IDAStar,36,50,5707,2343,23,1.35623,24,22.8374
BeamSearch,36,50,4816,2014,100,1.3454,24,30.4386
RBFS,36,50,5682,2327,4,1.35595,24,1.35548
SMAStar,36,50,3809,1603,2207,1.33049,24,75.5138
Greedy,36,100,558658,231650,327009,1.0055,1464,7426.49
BFS,36,100,2157035,889965,1267070,-1,-1,-1
AStar,36,100,738,284,455,1.10735,42,9.10483
IDAStar,36,100,123,61,41,1.0443,42,1.47735
BeamSearch,36,100,9403,3763,100,1.19028,42,114.623
RBFS,36,100,165,61,3,1.05532,42,0.523914
SMAStar,36,100,566,219,348,1.09847,42,7.59337
Greedy,36,200,288214,113015,175200,1.00364,1912,7079.56
BFS,36,200,1200527,493822,706705,-1,-1,-1
AStar,36,200,1219774,521065,696907,-1,-1,-1
IDAStar,36,200,3411768,1415668,52,-1,-1,-1
BeamSearch,36,200,99929,40963,100,1.01826,414,2434.01
RBFS,36,200,5000003,2079289,3,-1,-1,-1
SMAStar,36,200,70171,29224,40947,-1,-1,-1
Greedy,36,25,38,17,22,1.14148,13,0.166336
BFS,36,25,794872,327425,467448,2.74627,13,3819.21
AStar,36,25,33,15,19,1.12251,13,0.140547
IDAStar,36,25,26,14,12,1.0899,13,0.089831
BeamSearch,36,25,2137,894,100,1.68278,13,7.46204
RBFS,36,25,33,14,4,1.12251,13,0.049294
SMAStar,36,25,32,14,19,1.11835,13,0.122913
Greedy,36,50,95185,37731,57455,1.0199,382,672.86
BFS,36,50,3500254,1449069,2051185,-1,-1,-1
AStar,36,50,13239,5328,7884,1.28324,32,86.1961
IDAStar,36,50,16761,6483,31,1.29389,32,64.1936
BeamSearch,36,50,6889,2794,100,1.25394,32,43.7023
RBFS,36,50,16733,6463,4,1.29381,32,3.64219
SMAStar,36,50,21268,8619,12650,1.30468,32,2377.2
Greedy,36,100,1702740,716702,986039,1.0009,8188,23861
BFS,36,100,2202819,909274,1293545,-1,-1,-1
AStar,36,100,1205589,495330,708722,1.2586,54,16042.5
IDAStar,36,100,3412635,1402880,53,1.2849,54,24317.1
BeamSearch,36,100,14645,5977,100,1.12213,64,178.369
RBFS,36,100,3412792,1402906,3,1.2849,54,710.076
SMAStar,36,100,71264,29536,41728,-1,-1,-1
Greedy,36,200,1203355,492640,710715,-1,-1,-1
BFS,36,200,1214761,500813,713948,-1,-1,-1
AStar,36,200,1209660,508663,699780,-1,-1,-1
IDAStar,36,200,1925720,797832,51,-1,-1,-1
BeamSearch,36,200,35366,14594,100,1.0509,150,843.801
RBFS,36,200,5000003,2077073,4,-1,-1,-1
SMAStar,36,200,70101,29301,40800,-1,-1,-1
Greedy,36,25,26,10,17,1.20032,9,0.094911
BFS,36,25,13299,5353,7947,2.73019,9,48.6616
AStar,36,25,26,10,17,1.20032,9,0.092716
IDAStar,36,25,16,9,8,1.10082,9,0.051257
BeamSearch,36,25,1286,514,100,2.05776,9,4.47028
RBFS,36,25,26,9,4,1.20032,9,0.034486
SMAStar,36,25,26,10,17,1.20032,9,0.086634
Greedy,36,50,3474,1545,1930,1.03881,128,22.2866
BFS,36,50,3499761,1448502,2051259,-1,-1,-1
AStar,36,50,144,59,86,1.11038,26,0.955544
IDAStar,36,50,80,39,25,1.07451,26,0.518314
BeamSearch,36,50,5210,2163,100,1.31559,26,33.6317
RBFS,36,50,98,39,3,1.08711,26,0.177347
SMAStar,36,50,113,46,68,1.09581,26,0.72713
Greedy,36,100,2126801,881143,1245658,-1,-1,-1
BFS,36,100,2214419,912307,1302112,-1,-1,-1
AStar,36,100,235,96,140,1.13914,26,2.86112
IDAStar,36,100,100,46,25,1.08835,26,1.10542
BeamSearch,36,100,5318,2163,100,1.31677,26,65.9527
RBFS,36,100,114,44,3,1.09635,26,0.345235
SMAStar,36,100,217,89,129,1.13451,26,2.68989
Greedy,36,200,1195160,516194,678966,-1,-1,-1
BFS,36,200,1207828,499302,708526,-1,-1,-1
AStar,36,200,1206635,496820,706173,-1,-1,-1
IDAStar,36,200,2403507,972508,52,-1,-1,-1
BeamSearch,36,200,26421,10794,100,1.06866,112,629.327
RBFS,36,200,5000001,2018776,4,-1,-1,-1
SMAStar,36,200,70474,29246,41228,-1,-1,-1
Greedy,36,25,22,8,15,1.27799,7,0.081114
BFS,36,25,4072,1640,2433,3.1013,7,14.4772
AStar,36,25,22,8,15,1.27799,7,0.075894
IDAStar,36,25,12,7,6,1.11323,7,0.037271
BeamSearch,36,25,831,340,100,2.42154,7,2.93896
RBFS,36,25,22,7,4,1.27799,7,0.028314
SMAStar,36,25,22,8,15,1.27799,7,0.07368
Greedy,36,50,2292,980,1313,1.05024,96,14.5874
BFS,36,50,3507888,1456018,2051870,-1,-1,-1
AStar,36,50,129,51,79,1.21998,16,0.903866
IDAStar,36,50,62,29,15,1.14497,16,0.4056
BeamSearch,36,50,2988,1240,100,1.54507,16,21.0773
RBFS,36,50,119,46,4,1.21181,16,0.187255
SMAStar,36,50,141,57,85,1.22898,16,0.959351
Greedy,36,100,15149,6318,8832,1.01825,310,195.397
BFS,36,100,2140858,883448,1257410,-1,-1,-1
AStar,36,100,145,60,86,1.0884,30,1.80279
IDAStar,36,100,72,38,29,1.05097,30,0.899678
BeamSearch,36,100,6234,2577,100,1.27094,30,76.015
RBFS,36,100,94,38,3,1.06558,30,0.372557
SMAStar,36,100,126,52,75,1.08111,30,1.52711
Greedy,36,200,714997,293344,421654,1.00099,6614,17841.7
BFS,36,200,1200790,496923,703867,-1,-1,-1
AStar,36,200,1214586,512543,699559,-1,-1,-1
IDAStar,36,200,2459637,1036660,56,-1,-1,-1
BeamSearch,36,200,224657,92014,100,1.00816,924,5456.9
RBFS,36,200,5000001,2118976,4,-1,-1,-1
SMAStar,36,200,69447,30143,39304,-1,-1,-1
Greedy,36,25,4220,1665,2556,1.14268,47,14.9236
BFS,36,25,27764,11251,16514,2.97838,9,103.645
AStar,36,25,38,15,24,1.27688,9,0.13679
IDAStar,36,25,28,14,8,1.21531,9,0.091934
BeamSearch,36,25,1336,540,100,2.06751,9,5.26357
RBFS,36,25,38,14,4,1.27688,9,0.05256
SMAStar,36,25,27,10,18,1.20796,9,0.090612
Greedy,36,50,4058,1685,2374,1.04776,112,25.9175
BFS,36,50,3508745,1454271,2054474,-1,-1,-1
AStar,36,50,96,36,61,1.11378,22,0.639384
IDAStar,36,50,84,35,21,1.10402,22,0.550986
BeamSearch,36,50,4427,1814,100,1.38147,22,28.5772
RBFS,36,50,96,35,4,1.11378,22,0.153963
SMAStar,36,50,61,23,39,1.08013,22,0.380913
Greedy,36,100,559919,230100,329820,1.00556,1450,7441.54
BFS,36,100,2152821,888211,1264610,-1,-1,-1
AStar,36,100,10000,4085,5905,1.23317,36,121.839
IDAStar,36,100,12941,5207,35,1.2432,36,104.809
BeamSearch,36,100,7790,3163,100,1.22347,36,93.8342
RBFS,36,100,5661,2272,3,1.21111,36,1.5962
SMAStar,36,100,14327,5876,8452,1.24717,36,1102.81
Greedy,36,200,609061,252067,356995,1.00473,1688,14941.7
BFS,36,200,1201083,494669,706414,-1,-1,-1
AStar,36,200,1213840,507815,702545,-1,-1,-1
IDAStar,36,200,3264130,1321126,42,-1,-1,-1
BeamSearch,36,200,19565,7977,100,1.09223,84,461.372
RBFS,36,200,5000003,2041298,3,-1,-1,-1
SMAStar,36,200,69521,28675,40846,-1,-1,-1
Greedy,36,25,27,10,18,1.20796,9,0.097816
BFS,36,25,12169,4908,7262,2.70154,9,44.0486
AStar,36,25,27,10,18,1.20796,9,0.098808
IDAStar,36,25,18,9,8,1.12525,9,0.059643
BeamSearch,36,25,1198,463,100,2.03973,9,4.37165
RBFS,36,25,27,9,3,1.20796,9,0.035828
SMAStar,36,25,27,10,18,1.20796,9,0.090272
Greedy,36,50,69,31,39,1.10621,20,0.45311
BFS,36,50,3503524,1451255,2052269,-1,-1,-1
AStar,36,50,77,36,42,1.16739,16,0.502985
IDAStar,36,50,53,31,15,1.12854,16,0.321911
