Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
Greedy,25,25,44,20,25,1.30643,9,0.154097
BFS,25,25,1512,642,871,2.66075,7,6.9796
AStar,25,25,22,10,13,1.27799,7,0.064821
IDAStar,25,25,14,9,6,1.15537,7,0.038872
BeamSearch,25,25,722,304,100,2.36801,7,2.21203
RBFS,25,25,22,9,4,1.27799,7,0.024234
SMAStar,25,25,19,8,12,1.23825,7,0.054034
Greedy,25,50,76777,33006,43772,1.01086,622,454.283
BFS,25,50,3785691,1722202,2063489,-1,-1,-1
AStar,25,50,418,186,233,1.1554,28,1.90571
IDAStar,25,50,463,219,27,1.16076,28,1.68085
BeamSearch,25,50,5446,2392,100,1.28899,28,24.6012
RBFS,25,50,533,240,4,1.16812,28,0.227811
SMAStar,25,50,527,229,299,1.16753,28,2.69687
Greedy,25,100,4469,1923,2547,1.01576,272,38.1126
BFS,25,100,2875384,1305209,1570175,-1,-1,-1
AStar,25,100,162054,71551,89799,1.28359,42,1478.67
IDAStar,25,100,730849,308677,41,1.33446,42,2185.03
BeamSearch,25,100,10034,4372,100,1.16303,48,84.1323
RBFS,25,100,880014,373007,3,1.34083,42,145.164
SMAStar,25,100,86419,38759,47660,-1,-1,-1
Greedy,25,200,102561,45951,56611,1.00501,1248,1740.24
BFS,25,200,1633775,726825,906950,-1,-1,-1
AStar,25,200,1717547,789324,924297,-1,-1,-1
IDAStar,25,200,3340804,1498145,57,-1,-1,-1
BeamSearch,25,200,26729,11792,100,1.06215,122,454.426
RBFS,25,200,5000001,2261249,4,-1,-1,-1
SMAStar,25,200,84920,38889,46031,-1,-1,-1
Greedy,25,25,393,171,223,1.06512,51,1.03647
BFS,25,25,77458,34459,43000,2.66625,11,225.358
AStar,25,25,35,14,22,1.18032,11,0.092388
IDAStar,25,25,22,11,10,1.10472,11,0.051505
BeamSearch,25,25,1637,704,100,1.82314,11,4.00066
RBFS,25,25,32,11,4,1.1659,11,0.030399
SMAStar,25,25,35,14,22,1.18032,11,0.097834
Greedy,25,50,1341,558,784,1.10124,50,5.91375
BFS,25,50,4433378,2003886,2429492,-1,-1,-1
AStar,25,50,844,366,479,1.30222,20,3.77949
IDAStar,25,50,2415,1050,19,1.38471,20,6.72713
BeamSearch,25,50,3598,1572,100,1.41658,20,16.223
RBFS,25,50,2387,1034,3,1.38378,20,0.47792
SMAStar,25,50,1666,735,932,1.35535,20,12.5389
Greedy,25,100,219065,98385,120681,1.00565,1264,2034.57
BFS,25,100,2923674,1327853,1595821,-1,-1,-1
AStar,25,100,422594,192881,228533,1.31581,42,4048.58
IDAStar,25,100,817093,360111,41,1.33828,42,3131.98
BeamSearch,25,100,9938,4372,100,1.16277,48,83.1955
RBFS,25,100,786504,345025,3,1.33697,42,129.403
SMAStar,25,100,86129,39018,47111,-1,-1,-1
Greedy,25,200,250776,109806,140971,1.00277,2366,4345.55
BFS,25,200,1658714,741096,917618,-1,-1,-1
AStar,25,200,1717128,800097,910319,-1,-1,-1
IDAStar,25,200,5058359,2222063,45,-1,-1,-1
BeamSearch,25,200,31828,13822,100,1.0534,142,530.178
RBFS,25,200,5000002,2196210,4,-1,-1,-1
SMAStar,25,200,85700,39179,46521,-1,-1,-1
Greedy,25,25,26,10,17,1.20032,9,0.068801
BFS,25,25,9449,4129,5321,2.62138,9,24.3918
AStar,25,25,26,10,17,1.20032,9,0.067882
IDAStar,25,25,19,9,8,1.13638,9,0.047731
BeamSearch,25,25,1070,456,100,2.01124,9,2.63927
RBFS,25,25,26,9,3,1.20032,9,0.026065
SMAStar,25,25,26,10,17,1.20032,9,0.061898
Greedy,25,50,6304,2732,3573,1.02225,224,28.8336
BFS,25,50,4631376,2109799,2521577,-1,-1,-1
AStar,25,50,86,37,50,1.12415,20,0.42271
IDAStar,25,50,33,20,19,1.04288,20,0.159607
BeamSearch,25,50,3690,1592,100,1.41861,20,16.3707
RBFS,25,50,49,20,4,1.07756,20,0.102388
SMAStar,25,50,86,37,50,1.12415,20,0.415939
Greedy,25,100,568461,252622,315840,1.00656,1256,5359.58
BFS,25,100,2942068,1328973,1613095,-1,-1,-1
AStar,25,100,6544,2809,3731,1.25165,32,57.2665
IDAStar,25,100,7564,3142,31,1.25812,32,44.9419
BeamSearch,25,100,7394,3192,100,1.22145,36,61.7222
RBFS,25,100,12409,5183,4,1.28032,32,2.30019
SMAStar,25,100,10010,4308,5703,1.27067,32,343.768
Greedy,25,200,167067,72450,94618,1.00274,2242,2839.46
BFS,25,200,1654634,736200,918434,-1,-1,-1
AStar,25,200,1726879,822384,900138,-1,-1,-1
IDAStar,25,200,4550071,2090276,46,-1,-1,-1
BeamSearch,25,200,34444,14992,100,1.04913,154,561.908
RBFS,25,200,5000001,2298168,4,-1,-1,-1
SMAStar,25,200,86520,40485,46035,-1,-1,-1
Greedy,25,25,13254,5879,7376,1.01698,321,34.18
BFS,25,25,5000002,2262852,2737150,-1,-1,-1
AStar,25,25,76,31,46,1.15021,17,0.233781
IDAStar,25,25,54,28,16,1.11685,17,0.179633
BeamSearch,25,25,2956,1256,100,1.50007,17,7.20659
RBFS,25,25,53,21,3,1.115,17,0.047512
SMAStar,25,25,59,24,36,1.12558,17,0.141246
Greedy,25,50,8942,4046,4897,1.01308,366,40.5706
BFS,25,50,4809688,2169683,2640005,-1,-1,-1
AStar,25,50,163,71,93,1.20458,18,0.720184
IDAStar,25,50,92,44,17,1.15378,18,0.422748
BeamSearch,25,50,3098,1372,100,1.46669,18,14.0931
RBFS,25,50,134,57,3,1.18729,18,0.098849
SMAStar,25,50,132,56,77,1.18596,18,0.609493
Greedy,25,100,37217,16514,20704,1.0095,620,319.004
BFS,25,100,2960763,1335154,1625609,-1,-1,-1
AStar,25,100,726,317,410,1.15395,32,6.09211
IDAStar,25,100,800,362,31,1.15829,32,5.35581
BeamSearch,25,100,6213,2708,100,1.24933,32,52.0466
RBFS,25,100,777,338,3,1.15699,32,127.626
SMAStar,25,100,992,438,555,1.16788,32,9.87916
Greedy,25,200,215292,93838,121455,1.00453,1522,3760.44
BFS,25,200,1649006,731438,917568,-1,-1,-1
AStar,25,200,1704570,767348,933864,-1,-1,-1
IDAStar,25,200,3730344,1663913,46,-1,-1,-1
BeamSearch,25,200,32472,14172,100,1.05184,146,537.53
RBFS,25,200,5000002,2230509,3,-1,-1,-1
SMAStar,25,200,86989,38861,48128,-1,-1,-1
Greedy,25,25,15,6,10,1.36549,5,0.041187
BFS,25,25,244,101,144,2.7435,5,0.622624
AStar,25,25,15,6,10,1.36549,5,0.038068
IDAStar,25,25,11,5,4,1.24072,5,0.024381
BeamSearch,25,25,155,63,93,2.47443,5,0.382083
RBFS,25,25,15,5,3,1.36549,5,0.013385
SMAStar,25,25,15,6,10,1.36549,5,0.051563
Greedy,25,50,12291,5452,6840,1.02462,234,57.4149
BFS,25,50,4617896,2103933,2513963,-1,-1,-1
AStar,25,50,2791,1212,1577,1.3488,22,12.4425
IDAStar,25,50,4669,2014,21,1.38526,22,12.8294
BeamSearch,25,50,4198,1792,100,1.37768,22,18.876
RBFS,25,50,4634,1993,4,1.38472,22,0.845013
SMAStar,25,50,3907,1723,2185,1.37258,22,52.227
Greedy,25,100,27567,11889,15679,1.0079,684,241.052
BFS,25,100,2921252,1326611,1594641,-1,-1,-1
AStar,25,100,372,167,206,1.16557,26,3.15426
IDAStar,25,100,302,145,25,1.15362,26,2.13798
BeamSearch,25,100,4974,2172,100,1.31292,26,41.398
RBFS,25,100,137,62,3,1.10741,26,0.231774
SMAStar,25,100,345,158,188,1.16126,26,2.98891
Greedy,25,200,373461,164112,209350,1.00283,2460,6461.75
BFS,25,200,1669735,740843,928892,-1,-1,-1
AStar,25,200,1715961,781951,927604,-1,-1,-1
IDAStar,25,200,6125625,2611269,44,-1,-1,-1
BeamSearch,25,200,17479,7572,100,1.09601,80,285.025
RBFS,25,200,5000003,2122043,3,-1,-1,-1
SMAStar,25,200,86783,39161,47622,-1,-1,-1
Greedy,25,25,20,8,13,1.25215,7,0.054577
BFS,25,25,2301,976,1326,2.84029,7,5.75645
AStar,25,25,20,8,13,1.25215,7,0.049325
IDAStar,25,25,12,7,6,1.11323,7,0.027648
BeamSearch,25,25,711,304,100,2.36222,7,1.74261
RBFS,25,25,20,7,4,1.25215,7,0.019646
SMAStar,25,25,20,8,13,1.25215,7,0.046955
Greedy,25,50,31,13,19,1.13492,12,0.134412
BFS,25,50,67489,29251,38239,2.41602,12,321.977
AStar,25,50,31,13,19,1.13492,12,0.141032
IDAStar,25,50,20,12,11,1.06892,12,0.083455
BeamSearch,25,50,1761,772,100,1.73556,12,7.74371
RBFS,25,50,31,12,3,1.13492,12,0.056206
SMAStar,25,50,31,13,19,1.13492,12,0.132169
Greedy,25,100,108597,47679,60919,1.00579,1116,972.781
BFS,25,100,2938682,1329143,1609539,-1,-1,-1
AStar,25,100,55090,24677,30280,1.24787,42,478.301
IDAStar,25,100,105156,45958,41,1.26921,42,428.269
BeamSearch,25,100,8736,3792,100,1.1879,42,74.5026
RBFS,25,100,105119,45931,4,1.2692,42,17.5734
SMAStar,25,100,87661,39624,48037,-1,-1,-1
Greedy,25,200,154265,69046,85220,1.00542,1244,2578.62
BFS,25,200,1669575,740989,928586,-1,-1,-1
AStar,25,200,1711722,774328,932686,-1,-1,-1
IDAStar,25,200,4487665,1931618,38,-1,-1,-1
BeamSearch,25,200,17992,7772,100,1.09365,82,291.238
RBFS,25,200,5000002,2150134,3,-1,-1,-1
SMAStar,25,200,85728,38071,47657,-1,-1,-1
Greedy,25,25,22,10,13,1.16639,9,0.057618
BFS,25,25,10266,4428,5839,2.64742,9,25.5015
AStar,25,25,22,10,13,1.16639,9,0.054753
IDAStar,25,25,17,9,8,1.11342,9,0.039497
BeamSearch,25,25,1179,504,100,2.03568,9,2.84538
RBFS,25,25,22,9,4,1.16639,9,0.024381
SMAStar,25,25,22,10,13,1.16639,9,0.051638
Greedy,25,50,16797,7359,9439,1.02681,230,76.6634
BFS,25,50,4110640,1873968,2236673,2.50941,16,26558.9
AStar,25,50,55,23,33,1.13244,16,0.254474
IDAStar,25,50,46,22,15,1.11354,16,0.199794
BeamSearch,25,50,2747,1192,100,1.53592,16,12.2804
RBFS,25,50,55,22,4,1.13244,16,0.077361
SMAStar,25,50,43,17,27,1.10633,16,0.344749
Greedy,25,100,1930,840,1091,1.03421,124,19.6523
BFS,25,100,2938681,1327423,1611258,-1,-1,-1
AStar,25,100,1499,672,826,1.20261,30,12.4249
IDAStar,25,100,3116,1382,29,1.2376,30,15.8278
BeamSearch,25,100,5833,2592,100,1.26773,30,49.4818
RBFS,25,100,3088,1366,4,1.23717,30,0.77404
SMAStar,25,100,1890,856,1035,1.21369,30,22.2626
Greedy,25,200,71976,30792,41185,1.00821,780,1202.36
BFS,25,200,1659003,737928,921075,-1,-1,-1
AStar,25,200,1713250,778785,929409,-1,-1,-1
IDAStar,25,200,4419460,1928133,44,-1,-1,-1
BeamSearch,25,200,14791,6392,100,1.11366,68,238.896
RBFS,25,200,5000001,2180373,4,-1,-1,-1
SMAStar,25,200,85605,38538,47068,-1,-1,-1
Greedy,25,25,12931,5797,7135,1.03981,159,34.3675
BFS,25,25,1123448,499588,623861,2.4442,15,4361.78
AStar,25,25,146,63,84,1.25606,15,0.52264
IDAStar,25,25,83,39,14,1.19426,15,0.18072
BeamSearch,25,25,2532,1104,100,1.5769,15,6.38889
RBFS,25,25,113,46,4,1.2281,15,0.053055
SMAStar,25,25,146,63,84,1.25606,15,0.385507
Greedy,25,50,85333,38019,47315,1.00616,1020,435.854
BFS,25,50,4667145,2125466,2541679,-1,-1,-1
AStar,25,50,404,175,230,1.1903,24,1.82005
IDAStar,25,50,467,207,23,1.19934,24,1.49206
BeamSearch,25,50,4500,1992,100,1.34108,24,20.0227
RBFS,25,50,325,137,4,1.1767,24,0.170297
SMAStar,25,50,592,258,335,1.2141,24,3.01311
Greedy,25,100,20576,8858,11719,1.01977,306,173.932
BFS,25,100,2938681,1334756,1603925,-1,-1,-1
AStar,25,100,281,119,163,1.16756,24,2.34174
IDAStar,25,100,294,132,23,1.17041,24,2.12749
BeamSearch,25,100,4560,1972,100,1.34192,24,37.9404
RBFS,25,100,144,59,3,1.12499,24,0.21592
SMAStar,25,100,314,133,182,1.17454,24,2.70077
Greedy,25,200,97892,42133,55760,1.00606,1056,1648.85
BFS,25,200,1661310,737146,924164,-1,-1,-1
AStar,25,200,1717444,768795,945418,-1,-1,-1
IDAStar,25,200,4057548,1728733,46,-1,-1,-1
BeamSearch,25,200,18485,7972,100,1.09138,84,301.754
RBFS,25,200,5000001,2131942,3,-1,-1,-1
SMAStar,25,200,86318,37675,48643,-1,-1,-1
Greedy,25,25,28,12,17,1.14429,11,0.073997
BFS,25,25,44367,19495,24873,2.5268,11,128.116
AStar,25,25,28,12,17,1.14429,11,0.072334
IDAStar,25,25,20,11,10,1.08883,11,0.04634
BeamSearch,25,25,1505,656,100,1.80754,11,3.66471
RBFS,25,25,28,11,3,1.14429,11,0.02905
SMAStar,25,25,28,12,17,1.14429,11,0.065522
Greedy,25,50,1759,765,995,1.09834,54,7.97357
BFS,25,50,779002,350992,428011,2.54287,14,4665.21
AStar,25,50,74,32,43,1.20321,14,0.359046
IDAStar,25,50,48,25,13,1.15107,14,0.23041
BeamSearch,25,50,2332,1022,100,1.62533,14,10.2727
RBFS,25,50,55,24,4,1.16759,14,0.069059
SMAStar,25,50,53,23,31,1.1631,14,0.227964
Greedy,25,100,70509,31342,39168,1.00714,874,625.177
BFS,25,100,2938682,1334751,1603931,-1,-1,-1
AStar,25,100,364182,163094,200438,1.29346,44,3450.45
IDAStar,25,100,466777,206264,43,1.30138,44,2198.65
BeamSearch,25,100,12413,5372,100,1.13395,58,105.745
RBFS,25,100,933576,411109,3,1.32368,44,159.224
SMAStar,25,100,87816,39018,48798,-1,-1,-1
Greedy,25,200,15945,6992,8954,1.01263,422,261.685
BFS,25,200,1656704,737117,919587,-1,-1,-1
AStar,25,200,1707686,787204,914620,-1,-1,-1
IDAStar,25,200,4836071,2145477,42,-1,-1,-1
BeamSearch,25,200,20176,8792,100,1.08312,92,326.483
RBFS,25,200,5000002,2213990,4,-1,-1,-1
SMAStar,25,200,83048,38372,44676,-1,-1,-1
Greedy,25,25,41,19,23,1.20562,11,0.108753
BFS,25,25,39731,17196,22536,2.49997,11,112.08
AStar,25,25,58,29,30,1.26072,11,0.153813
IDAStar,25,25,19,13,10,1.0802,11,0.046363
BeamSearch,25,25,1623,704,100,1.82154,11,4.04988
RBFS,25,25,30,13,4,1.15548,11,0.030543
SMAStar,25,25,31,14,18,1.16078,11,0.076578
Greedy,25,50,65318,28116,37203,1.01433,480,323.457
BFS,25,50,4515391,2018022,2497369,-1,-1,-1
AStar,25,50,131,55,77,1.15772,20,0.59383
IDAStar,25,50,115,54,19,1.14741,20,0.499004
BeamSearch,25,50,3518,1508,100,1.41477,20,16.1249
RBFS,25,50,131,54,3,1.15772,20,0.107423
SMAStar,25,50,51,21,31,1.08097,20,0.219241
Greedy,25,100,53150,22948,30203,1.00996,632,483.54
BFS,25,100,2938681,1325621,1613060,-1,-1,-1
AStar,25,100,9953,4312,5595,1.2177,38,83.9353
IDAStar,25,100,31560,13238,37,1.25998,38,158.507
BeamSearch,25,100,7574,3308,100,1.20775,38,63.7335
RBFS,25,100,31525,13208,3,1.25993,38,5.42271
SMAStar,25,100,21832,9668,12165,1.24641,38,1636.55
Greedy,25,200,53065,23575,29491,1.0068,868,906.219
BFS,25,200,1652065,735512,916553,-1,-1,-1
AStar,25,200,1707207,792201,911583,-1,-1,-1
IDAStar,25,200,4987774,2217091,40,-1,-1,-1
BeamSearch,25,200,10052,4392,100,1.16308,48,162.154
RBFS,25,200,5000001,2222411,4,-1,-1,-1
SMAStar,25,200,86505,38810,47695,-1,-1,-1
Greedy,25,25,4,2,3,3,1,0.010019
BFS,25,25,4,2,3,3,1,0.007455
AStar,25,25,4,2,3,3,1,0.008205
IDAStar,25,25,2,1,0,1,1,0.002766
BeamSearch,25,25,4,2,3,3,1,0.007635
RBFS,25,25,4,1,3,3,1,0.003125
SMAStar,25,25,4,2,3,3,1,0.007534
Greedy,25,50,32584,13659,18926,1.01228,490,153.27
BFS,25,50,4599192,2077151,2522041,-1,-1,-1
AStar,25,50,221,98,124,1.1986,20,0.996651
IDAStar,25,50,185,88,19,1.18477,20,0.761208
BeamSearch,25,50,3599,1572,100,1.4166,20,16.3027
RBFS,25,50,184,81,3,1.18435,20,0.133634
SMAStar,25,50,161,69,93,1.17392,20,0.716382
Greedy,25,100,63277,27256,36022,1.01613,432,565.615
BFS,25,100,2917602,1316396,1601206,-1,-1,-1
AStar,25,100,24355,10652,13658,1.2879,34,209.622
IDAStar,25,100,45072,19492,33,1.314,34,218.618
BeamSearch,25,100,8120,3508,100,1.19719,40,68.23
RBFS,25,100,45052,19472,3,1.31398,34,7.71153
SMAStar,25,100,35073,15561,19513,1.30333,34,4401.95
Greedy,25,200,342090,151008,191083,1.00405,1790,5933.8
BFS,25,200,1670520,743041,927479,-1,-1,-1
AStar,25,200,1709663,761333,942747,-1,-1,-1
IDAStar,25,200,5664683,2369089,38,-1,-1,-1
BeamSearch,25,200,19787,8592,100,1.08506,90,320.976
RBFS,25,200,5000001,2103319,4,-1,-1,-1
SMAStar,25,200,85570,37282,48288,-1,-1,-1
Greedy,25,25,32,14,19,1.11835,13,0.084691
BFS,25,25,271430,121457,149974,2.51807,13,877.255
AStar,25,25,32,14,19,1.11835,13,0.087447
IDAStar,25,25,23,13,12,1.07278,13,0.054073
BeamSearch,25,25,1965,856,100,1.67058,13,4.81676
RBFS,25,25,32,13,3,1.11835,13,0.034706
SMAStar,25,25,32,14,19,1.11835,13,0.090081
Greedy,25,50,1466,638,829,1.05431,82,6.57811
BFS,25,50,4656457,2120776,2535681,-1,-1,-1
AStar,25,50,263,114,150,1.21208,20,1.17241
IDAStar,25,50,211,96,19,1.195,20,0.674808
BeamSearch,25,50,3590,1592,100,1.4164,20,16.1663
RBFS,25,50,236,100,4,1.20369,20,0.124546
SMAStar,25,50,220,95,126,1.19825,20,1.01169
Greedy,25,100,321201,140571,180631,1.00232,2850,2976.94
BFS,25,100,2938681,1331081,1607600,-1,-1,-1
AStar,25,100,3159,1400,1755,1.15498,42,26.2316
IDAStar,25,100,6778,3011,41,1.17969,42,42.721
BeamSearch,25,100,8520,3772,100,1.18709,42,70.8925
RBFS,25,100,8321,3677,3,1.18632,42,1.73457
SMAStar,25,100,11289,5055,6235,1.1962,42,438.116
Greedy,25,200,80254,35390,44865,1.00512,1178,1361.52
BFS,25,200,1661446,737212,924234,-1,-1,-1
AStar,25,200,1713358,785107,920863,-1,-1,-1
IDAStar,25,200,4609884,2039815,45,-1,-1,-1
BeamSearch,25,200,50962,22172,100,1.03331,226,846.973
RBFS,25,200,5000002,2227626,3,-1,-1,-1
SMAStar,25,200,87414,40151,47263,-1,-1,-1
Greedy,25,25,101,43,59,1.1092,23,0.251043
BFS,25,25,409767,184718,225050,2.6034,13,1479.93
AStar,25,25,58,30,29,1.19733,13,0.151198
IDAStar,25,25,33,18,12,1.12251,13,0.079778
BeamSearch,25,25,2073,904,100,1.67835,13,5.10732
RBFS,25,25,38,18,4,1.14148,13,0.036753
SMAStar,25,25,32,14,19,1.11835,13,0.078365
Greedy,25,50,3978,1697,2282,1.034,146,17.8448
