Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
BFS,25,50,4613686,2062187,2551499,-1,-1,-1
AStar,25,50,380,165,216,1.21054,22,1.71966
IDAStar,25,50,174,83,21,1.15623,22,0.643374
BeamSearch,25,50,3926,1708,100,1.37292,22,17.7846
RBFS,25,50,160,70,3,1.15032,22,0.127295
SMAStar,25,50,456,200,257,1.22311,22,2.30235
Greedy,25,100,6186,2704,3483,1.01439,314,52.4216
BFS,25,100,2938682,1329143,1609539,-1,-1,-1
AStar,25,100,204,84,121,1.13091,26,1.7039
IDAStar,25,100,84,44,25,1.07756,26,0.682048
BeamSearch,25,100,4985,2192,100,1.31305,26,41.5278
RBFS,25,100,108,44,4,1.09306,26,0.226384
SMAStar,25,100,172,71,102,1.12091,26,1.43691
Greedy,25,200,587452,262799,324654,1.00172,4024,10007.8
BFS,25,200,1685020,757669,927351,-1,-1,-1
AStar,25,200,215980,97549,118128,1.2622,46,3661.8
IDAStar,25,200,137425,61120,45,1.24872,46,1511.58
BeamSearch,25,200,26165,11308,100,1.06443,118,435.496
RBFS,25,200,146060,64935,3,1.25053,46,24.7685
SMAStar,25,200,86689,38649,48040,-1,-1,-1
Greedy,25,25,29,12,18,1.14999,11,0.076264
BFS,25,25,42488,18533,23956,2.51625,11,121.704
AStar,25,25,29,12,18,1.14999,11,0.076305
IDAStar,25,25,17,11,10,1.06131,11,0.040687
BeamSearch,25,25,1508,656,100,1.80791,11,3.68685
RBFS,25,25,29,11,3,1.14999,11,0.029906
SMAStar,25,25,29,12,18,1.14999,11,0.06885
Greedy,25,50,33068,14712,18357,1.05372,142,154.492
BFS,25,50,290915,128435,162481,2.36149,14,1529.3
AStar,25,50,79,35,45,1.21101,14,0.371829
IDAStar,25,50,24,14,13,1.06401,14,0.101456
BeamSearch,25,50,2086,908,100,1.61078,14,11.3325
RBFS,25,50,34,14,3,1.10852,14,0.066929
SMAStar,25,50,34,15,20,1.10852,14,0.147505
Greedy,25,100,58437,25719,32719,1.0077,796,511.797
BFS,25,100,2938681,1325621,1613060,-1,-1,-1
AStar,25,100,10641,4560,6081,1.23559,36,89.4943
IDAStar,25,100,15952,6819,35,1.25137,36,96.9233
BeamSearch,25,100,7282,3108,100,1.22086,36,61.0045
RBFS,25,100,5942,2530,3,1.21298,36,1.25808
SMAStar,25,100,11169,4793,6377,1.23747,36,425.509
Greedy,25,200,155033,68214,86820,1.00536,1256,2621.63
BFS,25,200,1661569,737090,924479,-1,-1,-1
AStar,25,200,1715046,785682,925346,-1,-1,-1
IDAStar,25,200,3758902,1664614,44,-1,-1,-1
BeamSearch,25,200,43459,18772,100,1.03932,192,723.628
RBFS,25,200,5000003,2215425,3,-1,-1,-1
SMAStar,25,200,87352,39630,47722,-1,-1,-1
Greedy,25,25,4976,2118,2859,1.1065,61,12.618
BFS,25,25,5000001,2237905,2762096,-1,-1,-1
AStar,25,25,129,56,74,1.16933,19,0.363215
IDAStar,25,25,128,60,18,1.16868,19,0.293038
BeamSearch,25,25,3409,1504,100,1.44181,19,8.42589
RBFS,25,25,73,32,4,1.12113,19,0.060711
SMAStar,25,25,129,56,74,1.16933,19,0.330906
Greedy,25,50,181114,77024,104091,1.01363,576,940.864
BFS,25,50,2548293,1144586,1403708,2.4323,16,15847.6
AStar,25,50,79,32,48,1.17003,16,0.358226
IDAStar,25,50,46,22,15,1.11354,16,0.222105
BeamSearch,25,50,2766,1192,100,1.53667,16,12.3636
RBFS,25,50,77,30,4,1.16739,16,0.085944
SMAStar,25,50,67,27,41,1.15302,16,0.295596
Greedy,25,100,6774,3020,3755,1.01619,292,57.3803
BFS,25,100,2938680,1326753,1611927,-1,-1,-1
AStar,25,100,1790,791,992,1.28298,24,16.1889
IDAStar,25,100,3406,1482,23,1.32341,24,15.6617
BeamSearch,25,100,4583,1992,100,1.34224,24,38.2718
RBFS,25,100,3464,1511,4,1.32448,24,0.776613
SMAStar,25,100,4444,1987,2458,1.34028,24,81.5326
Greedy,25,200,243297,106888,136410,1.00264,2452,4137.47
BFS,25,200,1656918,744591,912327,-1,-1,-1
AStar,25,200,1727844,796041,929698,-1,-1,-1
IDAStar,25,200,3442628,1549954,48,-1,-1,-1
BeamSearch,25,200,50537,21908,100,1.03361,224,837.966
RBFS,25,200,5000001,2251848,3,-1,-1,-1
SMAStar,25,200,87240,39209,48031,-1,-1,-1
Greedy,25,25,37448,16853,20596,1.02293,297,103.169
BFS,25,25,67545,29912,37634,2.63135,11,190.289
AStar,25,25,41,16,26,1.20562,11,0.13057
IDAStar,25,25,27,15,10,1.13837,11,0.063642
BeamSearch,25,25,1645,704,100,1.82405,11,3.99269
RBFS,25,25,41,15,4,1.20562,11,0.031801
SMAStar,25,25,32,12,21,1.1659,11,0.077369
Greedy,25,50,2685,1168,1518,1.03694,126,11.9943
BFS,25,50,2320743,1039040,1281704,2.41747,16,14095.3
AStar,25,50,84,35,50,1.17633,16,0.382367
IDAStar,25,50,44,24,15,1.10879,16,0.17333
BeamSearch,25,50,2734,1192,100,1.5354,16,12.1673
RBFS,25,50,52,21,4,1.12653,16,0.077106
SMAStar,25,50,48,20,29,1.11806,16,0.222282
Greedy,25,100,8085,3589,4497,1.02216,236,67.642
BFS,25,100,2936373,1324614,1611759,-1,-1,-1
AStar,25,100,294,128,167,1.17041,24,2.43768
IDAStar,25,100,140,71,23,1.12317,24,0.916185
BeamSearch,25,100,4304,1908,100,1.33825,24,35.9385
RBFS,25,100,223,98,3,1.15297,24,0.230617
SMAStar,25,100,245,106,140,1.15892,24,2.0804
Greedy,25,200,64537,29062,35476,1.01376,496,1076.82
BFS,25,200,1646264,735636,910628,-1,-1,-1
AStar,25,200,1716192,789801,921513,-1,-1,-1
IDAStar,25,200,4677142,2106781,52,-1,-1,-1
BeamSearch,25,200,20352,9022,100,1.08112,94,331.537
RBFS,25,200,5000003,2239033,4,-1,-1,-1
SMAStar,25,200,86546,40219,46327,-1,-1,-1
Greedy,25,25,33,14,20,1.17086,11,0.088297
BFS,25,25,57288,25185,32104,2.58992,11,160.942
AStar,25,25,39,17,23,1.19764,11,0.102514
IDAStar,25,25,17,11,10,1.06131,11,0.040387
BeamSearch,25,25,1603,704,100,1.81924,11,3.90501
RBFS,25,25,30,11,4,1.15548,11,0.030668
SMAStar,25,25,30,12,19,1.15548,11,0.071636
Greedy,25,50,23216,10313,12904,1.0127,450,108.216
BFS,25,50,4675112,2138374,2536738,-1,-1,-1
AStar,25,50,414,168,247,1.21645,22,1.85236
IDAStar,25,50,419,175,21,1.21728,22,1.60161
BeamSearch,25,50,4180,1822,100,1.37738,22,18.8246
RBFS,25,50,417,168,4,1.21695,22,0.161647
SMAStar,25,50,314,127,188,1.19736,22,1.48261
Greedy,25,100,35924,15395,20530,1.02819,248,312.107
BFS,25,100,2949987,1339899,1610088,-1,-1,-1
AStar,25,100,786,342,444,1.18834,28,6.64395
IDAStar,25,100,1266,565,27,1.21305,28,8.17994
BeamSearch,25,100,5434,2372,100,1.28887,28,45.8999
RBFS,25,100,1258,553,3,1.21273,28,113.11
SMAStar,25,100,1136,500,637,1.20744,28,11.5825
Greedy,25,200,113143,51359,61785,1.00276,2084,1919.74
BFS,25,200,1660560,736641,923919,-1,-1,-1
AStar,25,200,1712643,777472,933022,-1,-1,-1
IDAStar,25,200,3406348,1516127,51,-1,-1,-1
BeamSearch,25,200,22391,9772,100,1.07473,102,365.804
RBFS,25,200,5000001,2228606,3,-1,-1,-1
SMAStar,25,200,86593,38508,48085,-1,-1,-1
Greedy,25,25,32,14,19,1.11835,13,0.084581
BFS,25,25,204690,90575,114116,2.46109,13,652.27
AStar,25,25,32,14,19,1.11835,13,0.110741
IDAStar,25,25,24,13,12,1.07875,13,0.059172
BeamSearch,25,25,1957,856,100,1.66999,13,4.78947
RBFS,25,25,32,13,3,1.11835,13,0.035277
SMAStar,25,25,32,14,19,1.11835,13,0.076997
Greedy,25,50,26,11,16,1.16186,10,0.111171
BFS,25,50,17834,7783,10052,2.53102,10,80.174
AStar,25,50,26,11,16,1.16186,10,0.115029
IDAStar,25,50,18,10,9,1.0946,10,0.130378
BeamSearch,25,50,1187,508,100,1.88176,10,5.22232
